FID,osm_id,code,fclass,name,shape@x,shape@y
1788,"12172358026",3500,hindu,Maa Narayani Mandir,78.3638470000,24.2036213000
1866,"12206436736",3500,hindu,Haduaa Ram Mandir,78.5978547000,24.1623894000
1551,"11691267240",3500,hindu,Durga Ji Mandir,78.7809555000,23.8587964000
1000,"8609679300",3500,hindu,Sai Mandir,78.3408482000,23.5918207000
15,"1109061982",3500,hindu,Teli-ka-Mandir,78.1656799000,26.2202948000
937,"8121815738",3500,hindu,hanuman temple,79.9379906000,23.1817987000
1892,"12391616664",3500,hindu,Hanuman Temple,78.3555443000,22.7547249000
1495,"11690381770",3500,hindu,Shree Bada Ganpati Mandir,75.8418722000,22.7205354000
24,"1124758825",3400,buddhist,Northern Gate,77.7396450000,23.4795770000
25,"1124758834",3400,buddhist,Eastern Gate,77.7398364000,23.4793225000
1258,"10767743909",3100,christian,Khan House 55,74.7886301000,22.3612553000
476,"5222206523",3500,hindu,Shiv Temple STP,78.6455605000,25.3545492000
1514,"11690576036",3500,hindu,Ram mandir,76.6937908000,25.6591347000
1718,"12107599371",3500,hindu,Ram Mandir,78.5643668000,23.6820624000
710,"7125742861",3500,hindu,Sheetla Devi,80.3690510000,22.5882862000
1840,"12189765849",3500,hindu,Raj Mandir,78.6856619000,23.9627167000
1773,"12161667775",3500,hindu,Rajputon Ka Mandir Bardha,78.2512643000,24.1408371000
280,"4040606161",3800,sikh,Gurudwara,79.9840371000,23.1405290000
508,"5327363619",3300,muslim,Jama Masjiz,77.2270089000,22.8106328000
1916,"12555791179",3500,hindu,Santoshi Maa Mandir,81.2864368000,24.5372864000
1200,"10032755333",3400,buddhist,Tantiya Bhil Temple,75.7996938000,22.5054160000
167,"3276693151",3500,hindu,,75.9116465000,22.7697777000
1593,"11698105136",3100,christian,,77.8221977000,23.5308681000
1686,"12086960059",3500,hindu,Van Devi Mandir  Guru Chopda,78.9559503000,23.5007246000
1777,"12168004660",3500,hindu,MMMDV Bada Mandir,78.2067188000,24.1932482000
1450,"11557033025",3300,muslim,"Jama Masjid, Pachmarhi",78.4349435000,22.4740705000
1441,"11508503093",3500,hindu,Shankar ji & Hanuman ji Temple,78.3594690000,22.7369896000
1488,"11688458766",3500,hindu,Kaali Mata Temple,78.3599711000,22.7563990000
1758,"12157574792",3500,hindu,Jerai Rajmandir,78.6083440000,23.8676472000
780,"7594865600",3500,hindu,shiv mandir,75.7807629000,23.1608343000
425,"4782930482",3500,hindu,Hanuman Mandir,77.4308489000,23.2094494000
1675,"12055301797",3500,hindu,Gayatri Mandir,79.0595411000,23.6342061000
143,"3098380537",3500,hindu,gouri shankar tempole,79.6052310000,24.1404731000
1825,"12188095267",3500,hindu,Purana Shiv Mandir,78.7472905000,23.8799156000
994,"8540868475",3500,hindu,,75.6184056000,22.1799366000
1460,"11593708372",3500,hindu,Shri Siddh Shiv Sai Hanuman Mandir,78.3554054000,22.7537083000
1723,"12107679560",3500,hindu,Hanuman mandir  Raj Nivas,78.5629579000,23.7029229000
1871,"12211530812",3500,hindu,Hanuman Mandir,78.5486541000,24.2762788000
388,"4695084092",3300,muslim,dargah sarif,75.8449328000,22.7088096000
1721,"12107641272",3500,hindu,Hindu Raj Mandir,78.6026585000,23.7050264000
1712,"12102585509",3500,hindu,Hanuman Mandir,78.5748222000,23.6265884000
1830,"12188133192",3500,hindu,Shri Ram Mandir,78.7466341000,23.8801828000
644,"6564189769",3500,hindu,shankar mandir,76.7186282000,23.0219048000
1626,"11728150393",3500,hindu,Mata Ka Mandir,78.4369876000,22.4727670000
600,"6046346611",3500,hindu,Shri Sai Mandir,75.8773394000,22.6763594000
1569,"11693461398",3500,hindu,shri ram talai hanuman ji,76.7000240000,25.6690328000
1669,"11989895856",3500,hindu,Patneshwer Mahakal Mandir Dana,78.8423789000,23.7556056000
1213,"10239608193",3500,hindu,,75.8918340000,22.6622975000
1499,"11690381785",3500,hindu,Shri Krishna Temple,75.8917203000,22.7266292000
1480,"11676534822",3500,hindu,Pipleshwar Mahadev,75.6341098000,24.1867408000
1743,"12151497425",3500,hindu,Nageshwar Mandir,78.7324928000,23.8382605000
198,"3702838074",3100,christian,Nun Monestary,75.8019036000,23.2231247000
