FID,osm_id,code,fclass,name
1687,"12086992075",3500,hindu,Sree Siddh Baba Neem Ghati
404,"4706552469",3300,muslim,Nazarbag Dargah
389,"4695086685",3500,hindu,Sri Ram Mandir
427,"4792262111",3500,hindu,Shri Batukeshwar Mahadev Temple
1490,"11690375115",3500,hindu,Gopur Mandir
1357,"10959759739",3500,hindu,
805,"7799242031",3500,hindu,Brahmakumari Ashram and Meditation
1628,"11728220237",3500,hindu,Mahadev Mandir
711,"7127652200",3500,hindu,Shri Yantra Temples
1703,"12100639765",3500,hindu,KherMata  Mandir
1467,"11637358441",3400,buddhist,Hanuman-Tempel Khairlanji
783,"7644984841",3500,hindu,Maa Chamunda Mandir
626,"6346780896",3500,hindu,Sai Temple
1262,"10794700809",3500,hindu,Bandhavgarh Laxman Temple
193,"3676071728",3500,hindu,Hanuman Mandir
1695,"12100101639",3500,hindu,Siv Mandir BHatoua
1498,"11690381781",3500,hindu,Shri Shri Kali Mandir
1913,"12526404664",3500,hindu,Achleshwar Mandir
56,"1802109236",3800,sikh,Gurudwara
1826,"12188107048",3500,hindu,Sankar Ji Mandir
1221,"10294924230",3100,christian,
1636,"11743516949",3500,hindu,Sri Chintaharan Hanuman Temple
1851,"12194193694",3100,christian,Shri  Shri 1008 Shri Parsbnth Digambar Mandir
1061,"8999473960",3500,hindu,
1828,"12188126789",3500,hindu,Maa Bijasen Mandir
1813,"12176111067",3500,hindu,Sai Mandir
1764,"12159412108",3500,hindu,Hanuman Mandir
524,"5474639534",3500,hindu,Jay Shiv Mandir
420,"4762888327",3500,hindu,
299,"4313126510",3500,hindu,Shree Ram-Krishna Temple
781,"7644984838",3500,hindu,Jageshwar Mandir
707,"7125699073",3500,hindu,Hanuman temple
995,"8540868495",3500,hindu,
1802,"12174763046",3500,hindu,Hanuman Mandir Dhangar
1148,"9809132294",3300,muslim,Sunni Jama Masjid Tirodi
1784,"12172283240",3500,hindu,Basahari Sive Mandir
1875,"12277786032",3500,hindu,Shiv Temple
1808,"12174838645",3500,hindu,Siv ( Bholenath  ) Mandir
599,"6046346606",3500,hindu,Shri Swaminarayan Temple
315,"4430329085",3500,hindu,Temple
70,"2092538654",3500,hindu,Hanuman Statue
1779,"12168075929",3500,hindu,Moti Mandir
1552,"11691267266",3500,hindu,Bhole Bawa mandir
1870,"12211356427",3500,hindu,Hanuman Mandir Palrethni
1458,"11580628730",3500,hindu,"Temple of Lord Shiva, Lord Shani, Sai Baba, and Hanuman"
514,"5376039832",3300,muslim,Gulzar colony masjid (mosque)
641,"6562631977",3300,muslim,Sikandar bazaar maszid
1676,"12055337018",3500,hindu,Tikitoriya devi Temple
587,"5907804643",3107,christian_protestant,E.L. Church Padhar
1839,"12189744356",3500,hindu,Hanuman Ji ka  mandir
1715,"12107502090",3500,hindu,Hanuman Mandir
506,"5327361836",3500,hindu,Jain MAndir
408,"4709535873",3500,hindu,shri Chinta Haran Hanuman Temple
521,"5469001921",3800,sikh,Gurudwara Data Bandi Chhor Sahib
1836,"12189708231",3500,hindu,Ram Janki Mandir
802,"7799183060",3500,hindu,Shri Sanatan Dharam Mandir
548,"5756933870",3500,hindu,Marimata Ganesh Mandir
1448,"11554851908",3300,muslim,Jama Masjid
173,"3344990608",3500,hindu,Jageshwari Devi Mandir
89,"2840587084",3500,hindu,Siddha Baba Mandir
14,"1109061745",3500,hindu,Sasbahu
172,"3339597278",3500,hindu,Hanuman Mandir
392,"4695218592",3500,hindu,ramdwara chhatribagh
525,"5474694553",3500,hindu,Mata Temple
1785,"12172286342",3500,hindu,Shree Ram Janki Mandir Basahari
767,"7541317369",3500,hindu,
1767,"12159831620",3500,hindu,Sagar Naka Mandir
106,"3029403261",3500,hindu,Jain Mandir
1783,"12172261104",3500,hindu,Shri Kashi Vishwanath Mandir
1794,"12174251105",3500,hindu,Khaki Baba Mandir
1252,"10750127499",3100,christian,St. Jude Catholic Church
1812,"12176054202",3500,hindu,Shani Mandir Sagar
768,"7541374711",3500,hindu,Hunaumanji tample
1254,"10750127502",3300,muslim,Eid Gaah Baihar
705,"7123907528",3500,hindu,
1716,"12107567469",3500,hindu,Mata Mandir
501,"5323136886",3500,hindu,HALWAI BADSHASH MANDIR
1668,"11982693542",3500,hindu,Hanuman Mandir
1722,"12107676084",3500,hindu,Hanuman Mandir
1801,"12174718466",3500,hindu,Shri Hanuman Mandir
1661,"11980221762",3500,hindu,Hanuman Mandir Chhapri
979,"8361562264",3500,hindu,Shri Maruti ji Temple
1461,"11598135521",3500,hindu,Big Shankar Ji Temple
1724,"12107681422",3500,hindu,Bhole Nath Mandir Bansa
1725,"12107692203",3500,hindu,Ma Durga Mandir Upar Kheda
1761,"12159350475",3500,hindu,Shree Thakur Baba Mandir
642,"6562631978",3500,hindu,Ram mandir budhwara
526,"5474694563",3500,hindu,Shiv Mandir
386,"4691946341",3500,hindu,ganesh temple
1804,"12174769280",3500,hindu,Ram Janki  Mandir
1803,"12174764784",3500,hindu,Gurudwara
996,"8549116438",3400,buddhist,Mahapragya Bauddha Vihar
1806,"12174777362",3500,hindu,Matarani  Mandir
1754,"12153756127",3500,hindu,Vrindavan Mandir
998,"8583920394",3500,hindu,hauma ji
1637,"11753377164",3500,hindu,Chota Mahadev Temple
485,"5302727021",3500,hindu,Mandir
1702,"12100630835",3500,hindu,Shree Hanuman Mandir Banjariya
347,"4485785154",3500,hindu,A Temple
1829,"12188130340",3500,hindu,Kherapati Devi Mandir Kudari
703,"7112302710",3500,hindu,
1738,"12150915820",3500,hindu,Shree Hanuman Mandir
191,"3640953883",3500,hindu,Balaji Ka Manir
544,"5572780124",3500,hindu,Cha
266,"3911235048",3500,hindu,
1791,"12174198170",3500,hindu,Ankus Pavaiya  Khaki Baba Mandir
197,"3696037864",3500,hindu,Iscon Temple
1536,"11690956257",3300,muslim,Maszid
1837,"12189727319",3500,hindu,Love Kush Mandir Mothi
1475,"11659308226",3400,buddhist,Maruti Nandan Temple
1858,"12194419680",3500,hindu,Maa Bidhyabasini Mandir
